@RELATION Training

@ATTRIBUTE FE REAL
@ATTRIBUTE SE REAL
@ATTRIBUTE TE REAL
@ATTRIBUTE BE REAL
@ATTRIBUTE Volunteering REAL
@ATTRIBUTE Technical REAL
@ATTRIBUTE Technical++ REAL
@ATTRIBUTE Non-technical REAL
@ATTRIBUTE Technologies REAL
@ATTRIBUTE Coding REAL
@ATTRIBUTE Placement {A,B,C}
	
@DATA
76,68,70,75,60,100,60,100,100,50,A
74,69,67,65,60,60,60,100,100,75,B
71,68,72,75,60,60,60,100,100,50,A
69,64,70,75,60,60,20,60,100,50,B
72,71,73,75,60,60,60,60,100,50,B
74,62,62,60,20,20,60,20,60,50,B
61,59,63,60,100,60,100,60,60,50,B
67,70,73,75,100,60,60,60,100,50,B
73,66,66,65,20,20,60,60,60,50,B
58,56,61,75,100,60,60,100,60,50,B
68,72,70,75,60,60,60,100,100,50,A
69,67,69,75,100,100,100,100,100,75,B
69,64,67,65,100,60,100,100,100,50,B
61,64,66,65,100,60,100,100,60,50,B
63,62,67,60,60,20,60,60,20,25,B
76,72,70,65,60,100,60,60,100,75,B
68,66,69,65,60,60,60,60,100,50,B
70,70,68,65,60,60,60,60,100,25,B
70,70,72,75,60,60,60,60,100,75,A
72,67,67,65,60,60,60,60,100,50,B
71,68,62,65,60,100,60,100,60,75,A
63,69,73,75,100,100,100,100,100,100,B
68,72,67,75,60,60,60,60,100,100,A
72,70,72,65,100,60,100,60,100,50,C
81,79,69,75,100,100,100,60,100,100,A
66,65,68,65,60,60,60,60,100,50,B
62,62,65,75,60,60,60,100,100,50,B
80,75,78,75,100,100,100,100,100,50,A
72,69,71,75,100,60,60,60,100,50,B
66,63,64,65,100,100,60,100,60,50,B
69,68,67,65,100,100,60,100,100,50,B
68,64,68,75,100,60,60,60,100,50,B
77,73,72,75,100,100,100,100,100,50,A
66,65,63,60,100,100,100,100,100,75,B
66,64,75,75,20,100,60,60,60,50,B
65,60,61,65,60,60,60,60,60,50,B
69,68,68,65,60,60,60,60,100,50,B
66,69,70,75,100,100,100,100,100,75,B
78,80,77,75,100,100,100,100,100,75,A
75,72,72,75,100,100,100,60,100,50,A
68,66,70,75,100,100,100,60,100,75,B
68,66,70,75,20,20,60,100,60,25,C
74,74,77,75,100,100,100,100,100,75,A

