54,2
55,2
56,2
57,2
58,2
59,2
60,2
60,2
60,2
61,2
61,3
61,2
61,2
62,2
62,2
62,2
62,2
62,2
62,3
63,2
63,2
63,2
63,2
63,2
64,2
64,2
64,2
64,2
64,2
64,2
65,2
65,2
65,2
65,2
65,2
65,2
66,2
66,2
66,2
66,2
66,2
66,2
66,2
66,2
67,2
67,3
67,2
67,2
67,2
67,2
67,2
67,2
67,3
67,2
68,2
68,2
68,2
68,2
68,2
68,2
68,2
69,2
69,2
69,2
69,3
69,2
69,1
69,3
69,2
69,2
69,2
69,3
70,2
70,2
70,2
70,3
70,2
70,3
70,2
70,3
70,2
70,3
70,2
70,2
70,2
70,1
71,2
71,2
71,2
71,2
71,2
72,2
72,2
72,2
72,2
72,3
72,3
72,3
72,1
72,3
72,3
73,2
73,2
73,2
73,2
74,3
75,2
76,3
76,3
76,2
77,3
77,2
77,2
77,3
77,3
78,3
78,2
78,3
80,2
83,3
